Authors,Titles,Profiles,Publications,Year of Publication
"Clark, C.","Associations between Fundamental Movement Skills, Physical Fitness, Motor Competency, Physical Activity, and Executive Functions in Pre-School Age Children: A Systematic Review",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/associations-between-fundamental-movement-skills-physical-fitness,Jul 2022
"Shah, S. A.",Automated Grading of Diabetic Macular Edema Using Color Retinal Photographs,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/automated-grading-of-diabetic-macular-edema-using-color-retinal-p,May 2022
"Liu, H.,Zheng, D.",A Wearable Swallowing Recognition System Based on Motion and Dual Photoplethysmography Sensing of Laryngeal Movements,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/a-wearable-swallowing-recognition-system-based-on-motion-and-dual,8 Sep 2022
"Clark, C. C. T.",Bariatric Surgery and COVID-19: What We Have Learned from the Pandemic in Iran: a Retrospective Observational Cohort Study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/bariatric-surgery-and-covid-19-what-we-have-learned-from-the-pand,Jan 2022
"Clark, C.","Body Mass Index and Risk of Parkinson, Alzheimer, Dementia, and Dementia mortality: A Systematic Review and Dose-response Meta-analysis of Cohort Studies Among 5 Million Participants",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/body-mass-index-and-risk-of-parkinson-alzheimer-dementia-and-deme,4 Mar 2022
"Allen, J.","Book Pitch article on Photoplethysmography: technology, signal analysis and applications",https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/book-pitch-article-on-photoplethysmography-technology-signal-anal,25 May 2022
,"Burden of non-communicable diseases among adolescents aged 10–24 years in the EU, 1990–2019: a systematic analysis of the Global Burden of Diseases Study 2019",,https://pureportal.coventry.ac.uk/en/publications/burden-of-non-communicable-diseases-among-adolescents-aged-1024-y,Jun 2022
"Xu, Y.,Zheng, D.",Calcium Activation of Parvalbumin Neurons Induced by Electrical Motor Cortex Stimulation,"https://pureportal.coventry.ac.uk/en/persons/yuhang-xu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/calcium-activation-of-parvalbumin-neurons-induced-by-electrical-m,8 Sep 2022
"West, S.,Carter, G.,O'Doherty, L.,Turner, A.",Can a digital intervention boost resilience in informal networks of survivors of sexual violence?,"https://pureportal.coventry.ac.uk/en/persons/sarah-west,https://pureportal.coventry.ac.uk/en/persons/grace-carter,https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty,https://pureportal.coventry.ac.uk/en/persons/andy-turner",https://pureportal.coventry.ac.uk/en/publications/can-a-digital-intervention-boost-resilience-in-informal-networks-,25 Mar 2022
,"Cancer Incidence, Mortality, Years of Life Lost, Years Lived With Disability, and Disability-Adjusted Life Years for 29 Cancer Groups From 2010 to 2019: A Systematic Analysis for the Global Burden of Disease Study 2019",,https://pureportal.coventry.ac.uk/en/publications/cancer-incidence-mortality-years-of-life-lost-years-lived-with-di,1 Mar 2022
"Clark, C. C. T.",Cardiorespiratory fitness is positively associated with both healthy and western dietary pattern in Iranian middle-aged,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/cardiorespiratory-fitness-is-positively-associated-with-both-heal,Oct 2022
"Liu, H.",Case Report: New Application of a Gufoni Maneuver Variation for Apogeotropic Lateral Semicircular Canal Benign Paroxysmal Positional Vertigo,https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/publications/case-report-new-application-of-a-gufoni-maneuver-variation-for-ap,10 Jun 2022
"Clark, C. C. T.",Circulating levels of adropin and overweight/obesity: a systematic review and meta-analysis of observational studies,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/circulating-levels-of-adropin-and-overweightobesity-a-systematic-,Mar 2022
"Wark, P. A.",Clinical information quality of digital health technologies: protocol for an international eDelphi study,https://pureportal.coventry.ac.uk/en/persons/petra-wark,https://pureportal.coventry.ac.uk/en/publications/clinical-information-quality-of-digital-health-technologies-proto,22 Apr 2022
"Clark, C. C. T.",Comparison of nutritional supplements for glycemic control in type 2 diabetes: A systematic review and network meta-analysis of randomized trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/comparison-of-nutritional-supplements-for-glycemic-control-in-typ,Sep 2022
,Conceptualisation and psychometric evaluation of positive psychological outcome measures used in adolescents and young adults living with HIV: a mixed scoping and systematic review protocol,,https://pureportal.coventry.ac.uk/en/publications/conceptualisation-and-psychometric-evaluation-of-positive-psychol,21 Sep 2022
"Shah, S. A.","Contactless WiFi Sensing and Monitoring for Future Healthcare: Emerging Trends, Challenges and Opportunities",https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/contactless-wifi-sensing-and-monitoring-for-future-healthcare-eme,7 Mar 2022
"Lycett, D.","CORRECTED ARTICLE: Effect of Dietary Potassium Restriction on Serum Potassium, Disease Progression, and Mortality in Chronic Kidney Disease: A Systematic Review and Meta-Analysis",https://pureportal.coventry.ac.uk/en/persons/deborah-lycett,https://pureportal.coventry.ac.uk/en/publications/corrected-article-effect-of-dietary-potassium-restriction-on-seru,Jan 2022
"Wang, J.",CrowdManager: An Ontology-Based Interaction and Management Middleware for Heterogeneous Mobile Crowd Sensing,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/crowdmanager-an-ontology-based-interaction-and-management-middlew,18 Aug 2022
"Clark, C. C. T.","Cytogenotoxic evaluation of the acetonitrile extract, citrinin and dicitrinin-A from Penicillium citrinum",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/cytogenotoxic-evaluation-of-the-acetonitrile-extract-citrinin-and,4 Mar 2022
"Shah, S. A.",Data portability for activities of daily living and fall detection in different environments using radar micro-doppler,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/data-portability-for-activities-of-daily-living-and-fall-detectio,May 2022
"Shah, S. A.",DBGC: Dimension-Based Generic Convolution Block for Object Recognition,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/dbgc-dimension-based-generic-convolution-block-for-object-recogni,24 Feb 2022
"Shah, S. A.",Design and Evaluation of a Button Sensor Antenna for On-Body Monitoring Activity in Healthcare Applications,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/design-and-evaluation-of-a-button-sensor-antenna-for-on-body-moni,20 Mar 2022
"Magee, P.,Woodcock, A.",Design Education does not exist in a vacuum,"https://pureportal.coventry.ac.uk/en/persons/paul-magee,https://pureportal.coventry.ac.uk/en/persons/andree-woodcock",https://pureportal.coventry.ac.uk/en/publications/design-education-does-not-exist-in-a-vacuum,8 Sep 2022
"Wilde, L. J.",Developing public transport messaging to provide crowding information during COVID-19: Application of the COM-B model and behaviour change wheel,https://pureportal.coventry.ac.uk/en/persons/laura-joanne-wilde,https://pureportal.coventry.ac.uk/en/publications/developing-public-transport-messaging-to-provide-crowding-informa,Mar 2022
"Shah, S. A.",Development of an Intelligent Real-time Multi-Person Respiratory Illnesses Sensing System using SDR Technology,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/development-of-an-intelligent-real-time-multi-person-respiratory-,10 Aug 2022
"Turner, A.",Development of a Self-Management Intervention for Memory Changes Linked to Androgen Deprivation Therapy for Prostate Cancer,https://pureportal.coventry.ac.uk/en/persons/andy-turner,https://pureportal.coventry.ac.uk/en/publications/development-of-a-self-management-intervention-for-memory-changes-,26 Jun 2022
"Clark, C. C. T.","Diagnostic Value of Chest CT scan for COVID-19 Suspected Cases and Its Compatibility with RT-PCR Method: A Survey from Jiroft, Iran",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/diagnostic-value-of-chest-ct-scan-for-covid-19-suspected-cases-an,30 Aug 2022
"Clark, C. C. T.","Dietary Acid Load (DAL), Glycated Hemoglobin A1c (HbA1c), and Metabolic Syndrome (MeS) Mediate the Association of the Adherence to the Dietary Approaches to Stopping Hypertension (DASH) and Mediterranean Diet (MeD) With Nonalcoholic Fatty Liver Disease",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/dietary-acid-load-dal-glycated-hemoglobin-a1c-hba1c-and-metabolic,7 Jul 2022
"Clark, C. C. T.",Dietary Intake and Body Composition During Ramadan in Athletes: A Systematic Review and Meta-Analysis With Meta-Regression,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/dietary-intake-and-body-composition-during-ramadan-in-athletes-a-,31 Jan 2022
"Clark, C. C. T.",Different types of screen-based sedentary time and anxiety in adolescents: Video games may be more important,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/different-types-of-screen-based-sedentary-time-and-anxiety-in-ado,6 Sep 2022
"Clark, C. C. T.,Kyrou, I.",Digitally enabled flash glucose monitoring for inpatients with COVID-19: Feasibility and pilot implementation in a teaching NHS Hospital in the UK,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/ioannis-kyrou",https://pureportal.coventry.ac.uk/en/publications/digitally-enabled-flash-glucose-monitoring-for-inpatients-with-co,7 Jan 2022
"Wright, H.,Turner, A.,Percy, C.",Digital Peer-Supported Self-Management Intervention Codesigned by People With Long COVID: Mixed Methods Proof-of-Concept Study,"https://pureportal.coventry.ac.uk/en/persons/hayley-wright,https://pureportal.coventry.ac.uk/en/persons/andy-turner,https://pureportal.coventry.ac.uk/en/persons/carol-percy",https://pureportal.coventry.ac.uk/en/publications/digital-peer-supported-self-management-intervention-codesigned-by,14 Oct 2022
"Clark, C. C. T.",Does folic acid supplementation affect body weight or body mass index? A systematic review and meta-analysis of randomized controlled trial,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/does-folic-acid-supplementation-affect-body-weight-or-body-mass-i,17 Oct 2022
"Clark, C. C. T.",Does observance of Ramadan affect sleep in athletes and physically active individuals? A systematic review and meta-analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/does-observance-of-ramadan-affect-sleep-in-athletes-and-physicall,Jun 2022
"Shah, S. A.",DRaNN_PSO: A deep random neural network with particle swarm optimization for intrusion detection in the industrial internet of things,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/drannpso-a-deep-random-neural-network-with-particle-swarm-optimiz,Nov 2022
"Wang, J.",Dynamic Probabilistic Graphical Model for Progressive Fake News Detection on Social Media Platform,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/dynamic-probabilistic-graphical-model-for-progressive-fake-news-d,31 Oct 2022
"Zheng, D.",Editorial: Multi-Scale Computational Cardiology,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/publications/editorial-multi-scale-computational-cardiology,7 Feb 2022
"Clark, C. C. T.",Effect of date palm pollen supplementation on female sexual function in non-menopausal women: A double blind randomized clinical trial,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/effect-of-date-palm-pollen-supplementation-on-female-sexual-funct,Oct 2022
"Liu, H.,Zheng, D.",Effect of microcirculatory dysfunction on coronary hemodynamics: A pilot study based on computational fluid dynamics simulation,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/effect-of-microcirculatory-dysfunction-on-coronary-hemodynamics-a,Jul 2022
"Hill, K.","Effect of police enforcement and extreme social inequalities on violence and mental health among women who sell sex: findings from a cohort study in London, UK",https://pureportal.coventry.ac.uk/en/persons/kathleen-hill,https://pureportal.coventry.ac.uk/en/publications/effect-of-police-enforcement-and-extreme-social-inequalities-on-v,1 Aug 2022
"Clark, C.",Effects of Class-Wide Choice Making on the Behaviour of Students with Mild Intellectual Disability,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/effects-of-class-wide-choice-making-on-the-behaviour-of-students-,2 Jan 2022
"Clark, C. C. T.","Effects of different training intensities in high-intensity interval training (HIIT) on maximal aerobic velocity, hematological and muscle-damage markers in healthy young adults",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/effects-of-different-training-intensities-in-high-intensity-inter,22 Aug 2022
"Clark, C. C. T.",Effects of Exercise Training on Bone Health Parameters in Individuals With Obesity: A Systematic Review and Meta-Analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/effects-of-exercise-training-on-bone-health-parameters-in-individ,14 Feb 2022
"Kurmi, O. P.",Effects of Household Air Pollution (HAP) on Cardiovascular Diseases in Low- and Middle-Income Countries (LMICs): A Systematic Review and Meta-Analysis,https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/effects-of-household-air-pollution-hap-on-cardiovascular-diseases,29 Jul 2022
"Clark, C. C. T.",Effects of Protein and Amino Acid Supplementation on Muscle Mass and Strength in a Healthy Population,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/effects-of-protein-and-amino-acid-supplementation-on-muscle-mass-,2022
"Clark, C. C. T.",Effects of school-based interventions on Food and Nutrition Literacy (FNLIT) in primary-school-age children: a systematic review,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/effects-of-school-based-interventions-on-food-and-nutrition-liter,30 Sep 2022
"Clark, C. C. T.",Eight Weeks of Pilates Training Improves Respiratory Measures in People With a History of COVID-19: A Preliminary Study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/eight-weeks-of-pilates-training-improves-respiratory-measures-in-,2 Oct 2022
"Clark, C. C. T.","Empirically-Derived Dietary Patterns in Relation to Non-Alcoholic Fatty Liver Diseases Among Adult Participants in Amol, Northern Iran: A Structural Equation Modeling Approach",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/empirically-derived-dietary-patterns-in-relation-to-non-alcoholic,28 Mar 2022
"Wang, J.",Enhancing Online Epidemic Supervising System by Compartmental and GRU Fusion Model,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/enhancing-online-epidemic-supervising-system-by-compartmental-and,29 Aug 2022
"Allen, J.",Ethnic Disparities in Publicly-available Pulse Oximetry Databases,https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/ethnic-disparities-in-publicly-available-pulse-oximetry-databases,27 May 2022
"Clark, C. C. T.",Evaluating the effect of digital game‐based nutrition education on anemia indicators in adolescent girls: A randomized clinical trial,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/evaluating-the-effect-of-digital-gamebased-nutrition-education-on,8 Nov 2022
"Shah, S. A.",Explainable Malware Detection System Using Transformers-Based Transfer Learning and Multi-Model Visual Representation,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/explainable-malware-detection-system-using-transformers-based-tra,7 Sep 2022
"Martins, R.,Duncan, M.,Clark, C.,Eyre, E.",Exploring the Acute Effects of the Daily Mile™ vs. Shuttle Runs on Children’s Cognitive and Affective Responses,"https://pureportal.coventry.ac.uk/en/persons/ricardo-martins,https://pureportal.coventry.ac.uk/en/persons/michael-duncan,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/emma-eyre",https://pureportal.coventry.ac.uk/en/publications/exploring-the-acute-effects-of-the-daily-mile-vs-shuttle-runs-on-,22 Sep 2022
"Clark, C.",Exploring the extent of mental health practice: Content and cluster analysis of techniques used in HIV Testing and Counselling sessions in Uganda,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/exploring-the-extent-of-mental-health-practice-content-and-cluste,22 May 2022
,Exploring the role of exposure to green and blue spaces in preventing anxiety and depression among young people aged 14-24 years living in urban settings:  A systematic review and conceptual framework,,https://pureportal.coventry.ac.uk/en/publications/exploring-the-role-of-exposure-to-green-and-blue-spaces-in-preven,13 Aug 2022
"Kurmi, O.","Exposure to household air pollution from solid cookfuels and childhood stunting: a population-based, cross-sectional study of half a million children in low- and middle-income countries",https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/exposure-to-household-air-pollution-from-solid-cookfuels-and-chil,1 Nov 2022
"Clark, C. C. T.",Favorable association between Mediterranean diet (MeD) and DASH with NAFLD among Iranian adults of the Amol Cohort Study (AmolCS),https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/favorable-association-between-mediterranean-diet-med-and-dash-wit,8 Feb 2022
"Wang, J.",FedAux: An Efficient Framework for Hybrid Federated Learning,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/fedaux-an-efficient-framework-for-hybrid-federated-learning,11 Aug 2022
"Clark, C. C. T.",Female infertility caused by organophosphates: an insight into the latest biochemical and histomorphological findings,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/female-infertility-caused-by-organophosphates-an-insight-into-the,9 Sep 2022
"Liu, H.,Wang, J.,Zheng, D.",Fine-Grained Assessment of COVID-19 Severity Based on Clinico-Radiological Data Using Machine Learning,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/fine-grained-assessment-of-covid-19-severity-based-on-clinico-rad,26 Aug 2022
"Clark, C. C. T.","Gastrointestinal Hormones, Morphological Characteristics, and Physical Performance in Elite Soccer Players",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/gastrointestinal-hormones-morphological-characteristics-and-physi,1 Sep 2022
"Wang, J.",Guest Editorial Special Issue on Artificial Intelligence for Autonomous Unmanned System Applications,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/guest-editorial-special-issue-on-artificial-intelligence-for-auto,13 Oct 2022
"Kurmi, O.","Household air pollution, Passive smoking, and Lung cancer: Do we know enough about this conundrum?",https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/household-air-pollution-passive-smoking-and-lung-cancer-do-we-kno,1 Nov 2022
"Pearce, G.,Magee, P.",How can we promote co-creation in communities? The perspective of health promoting professionals in four European countries,"https://pureportal.coventry.ac.uk/en/persons/gemma-pearce,https://pureportal.coventry.ac.uk/en/persons/paul-magee",https://pureportal.coventry.ac.uk/en/publications/how-can-we-promote-co-creation-in-communities-the-perspective-of-,21 Apr 2022
"Rodrigues Amorim Adegboye, A.,Patel, R.",How do we measure weight loss in New Mothers?,"https://pureportal.coventry.ac.uk/en/persons/amanda-r-a-adegboye,https://pureportal.coventry.ac.uk/en/persons/riya-patel",https://pureportal.coventry.ac.uk/en/publications/how-do-we-measure-weight-loss-in-new-mothers,26 Aug 2022
"Kurmi, O.",Impact of mental health and personality traits on the incidence of chronic cough in the Canadian Longitudinal Study on Aging,https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/impact-of-mental-health-and-personality-traits-on-the-incidence-o,30 May 2022
"Woodcock, A.,Magee, P.",Increasing gender sensitivity with codesign,"https://pureportal.coventry.ac.uk/en/persons/andree-woodcock,https://pureportal.coventry.ac.uk/en/persons/paul-magee",https://pureportal.coventry.ac.uk/en/publications/increasing-gender-sensitivity-with-codesign,29 Apr 2022
"Liu, H.,Zheng, D.",Index of microcirculatory resistance: state-of-the-art and potential applications in computational simulation of coronary artery disease,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/index-of-microcirculatory-resistance-state-of-the-art-and-potenti,28 Feb 2022
"Magee, P.,Farnaud, S.,Dayus, J.,Turner, M.",Innovation Bridge,"https://pureportal.coventry.ac.uk/en/persons/paul-magee,https://pureportal.coventry.ac.uk/en/persons/sebastien-farnaud,https://pureportal.coventry.ac.uk/en/persons/james-dayus,https://pureportal.coventry.ac.uk/en/persons/mark-turner",https://pureportal.coventry.ac.uk/en/publications/innovation-bridge,2022
"Lycett, D.",Integrating a New Dietetic Care Process in a Health Information System: A System and Process Analysis and Assessment,https://pureportal.coventry.ac.uk/en/persons/deborah-lycett,https://pureportal.coventry.ac.uk/en/publications/integrating-a-new-dietetic-care-process-in-a-health-information-s,22 Feb 2022
"Shah, S. A.",Intelligent Reflecting Surface Based Non-LOS Human Activity Recognition for Next Generation 6G-Enabled Healthcare System,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/intelligent-reflecting-surface-based-non-los-human-activity-recog,Sep 2022
"Clark, C. C. T.",Interactions between Caveolin-1 polymorphism and Plant-based dietary index on metabolic and inflammatory markers among women with obesity,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/interactions-between-caveolin-1-polymorphism-and-plant-based-diet,31 May 2022
,Intimate partner violence educational programmes may improve healthcare professionals' knowledge of and readiness to respond to women's experiences of violence,,https://pureportal.coventry.ac.uk/en/publications/intimate-partner-violence-educational-programmes-may-improve-heal,Mar 2022
"Shah, S. A.",IoT Based Fall Detection System for Elderly Healthcare,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/iot-based-fall-detection-system-for-elderly-healthcare,25 Feb 2022
"Wang, J.",ISIATasker: Task Allocation for Instant-SensingߝInstant-Actuation Mobile Crowdsensing: Task Allocation for Instant-Sensing-Instant-Actuation Mobile Crowd Sensing,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/isiatasker-task-allocation-for-instant-sensing%DF%9Dinstant-actuation-,1 Mar 2022
"Clark, C. C. T.",Is there any putative mediatory role of inflammatory markers on the association between ultra-processed foods and resting metabolic rate?,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/is-there-any-putative-mediatory-role-of-inflammatory-markers-on-t,13 Oct 2022
